N°	NOM	PRENOM	Qualification	SITE	PIECE	TEL	SALAIRE	sexe	date de naisssance
1	ABENHAÏM	Hélèna	1-agent	Paris	pièce 58	3091	21433.02	femme	28/10/1971
2	ABSCHEN	Jean	2-maitrise	Paris	pièce 74	3186	33386.42	homme	10/11/1992
3	ADAMO	Stéphane	3-cadre	Paris	pièce 73	3056	56482.43	homme	15/12/1981
4	AGAPOF	Marion	1-agent	Nice	pièce 109	3033	23405.53	femme	23/03/1994
5	ALEMBERT	Olivier	1-agent	Paris	pièce 134	3408	23397.3	homme	11/01/1992
6	AMELLAL	Henri	1-agent	Nice	pièce 104	3132	30055.19	homme	24/12/1965
7	AMELLAL	Marc	1-agent	Nice	pièce 232	3766	25991.41	homme	18/01/1977
8	AMELLAL	Viviane	3-cadre	Strasbourg	pièce 80	3421	56687.15	femme	19/05/1980
9	ANGONIN	Jean-Pierre	2-maitrise	Nice	pièce 70	3419	38985.63	homme	18/09/1976
10	AZOURA	Marie-France	3-cadre	Nice	pièce 109	3127	32083.64	femme	11/04/1979
11	AZRIA	Maryse	2-maitrise	Paris	pièce 233	3060	25438.56	femme	21/01/1978
12	BACH	Sylvie	3-cadre	Nice	pièce 90	3147	37832.73	femme	19/01/1977
13	BAH	Paule	1-agent	Paris	pièce 131	3795	26263.48	femme	28/11/1977
14	BARNAUD	Janine	2-maitrise	Nice	pièce 58	3725	28919	femme	22/10/1965
15	BARRACHINA	Monique	1-agent	Paris	pièce 35	3072	24443.68	femme	03/06/1985
16	BARRANDON	Stéphanie	1-agent	Nice	pièce 34	3280	17565.52	femme	25/01/1993
17	BASS	Thierry	1-agent	Strasbourg	pièce 35	3090	26606.08	homme	03/02/1982
18	BAUDET	Arlette	1-agent	Nice	pièce 91	3632	23660.81	femme	10/12/1965
19	BAUDET	Michele	1-agent	Paris	pièce 96	3880	27917.52	femme	03/04/1985
20	BEAUDEAU	Gérard	1-agent	Nice	pièce 212	3541	26357.96	homme	03/04/1966
21	BEAUMIER	Isabelle	1-agent	Nice	pièce 17	3595	19949.29	femme	08/12/1989
22	BEDO	Jean	1-agent	Nice	pièce 219	3008	28505.86	homme	31/08/1996
23	BEETHOVEN	Michele	1-agent	Paris	pièce 131	3013	22918.04	femme	22/02/1975
24	BENHAMOU	Pauline	1-agent	Nice	pièce 58	3486	22495.79	femme	23/07/1988
25	BENSIMHON	Pascal	3-cadre	Paris	pièce 73	3636	60167.99	homme	28/08/1974
26	BENSIMON	Elisabeth	1-agent	Nice	pièce 58	3287	22764.38	femme	21/04/1965
27	BÉRAUD	Nathalie	1-agent	Nice	pièce 245	3141	24578.33	femme	10/07/1993
